proxy	time	saved	missed	error
78.188.91.98:21231	2018-08-24 15:51:44.026603	1	0	0
94.101.140.10:21231	2018-08-24 15:52:03.969494	1	0	0
103.88.142.54:21231	2018-08-24 15:52:10.153964	1	0	1
182.55.250.98:80	2018-08-24 15:55:25.332836	1	0	1
183.90.70.134:80	2018-08-24 15:58:51.238566	1	0	1
93.91.196.30:8080	2018-08-24 15:59:11.318629	1	0	0
197.255.216.26:8080	2018-08-24 16:00:18.043041	1	0	1
92.242.255.85:21213	2018-08-24 16:00:27.404125	1	0	0
200.124.59.116:53281	2018-08-24 16:00:32.509244	1	0	0
78.108.108.192:21231	2018-08-24 16:00:42.260808	1	0	0
95.67.174.94:8080	2018-08-24 16:00:52.835519	1	0	0
105.22.72.110:8080	2018-08-24 16:01:09.044509	1	0	0
172.92.73.61:53281	2018-08-24 16:01:21.783609	1	0	0
37.247.28.21:21231	2018-08-24 16:01:42.252086	1	0	1
78.156.225.170:41258	2018-08-24 16:01:58.435963	1	0	0
83.144.67.2:21231	2018-08-24 16:02:04.997781	1	0	0
176.99.114.47:6666	2018-08-24 16:02:48.711805	1	0	1
